Transport for Atlanta, US,http://www.itsmarta.com/app-developer-resources.aspx
Transport for Auckland, New Zealand,https://api.at.govt.nz/
Transport for Belgium,Belgian transport API,https://hello.irail.be/api/
Transport for Berlin, Germany,https://github.com/derhuerst/vbb-rest/blob/master/docs/index.md
Transport for Boston, US,http://realtime.mbta.com/Portal/Home/Documents
Transport for Budapest, Hungary,https://apiary.io/
Transport for Chicago, US,http://www.transitchicago.com/developers/
Transport for Czech Republic,Czech transport API,https://www.chaps.cz/eng/products/idos-internet
Transport for Denver, US RTD,http://www.rtd-denver.com/gtfs-developer-guide.shtml
Transport for Finland,Finnish transport API,https://digitransit.fi/en/developers/ 
Transport for London, England,https://api.tfl.gov.uk
Transport for Norway,Norwegian transport API,http://reisapi.ruter.no/help
Transport for Ottawa, Canada,http://www.octranspo.com/index.php/developers
Transport for Paris, France,http://data.ratp.fr/api/v1/console/datasets/1.0/search/
Transport for Paris, France,http://restratpws.azurewebsites.net/swagger/
Transport for Philadelphia, US,http://www3.septa.org/hackathon/
Transport for Rio de Janeiro, Brazil,http://data.rio/group/transporte-e-mobilidade
Transport for Switzerland,Swiss public transport API,https://transport.opendata.ch/
Transport for The Netherlands,OVAPI,https://github.com/skywave/KV78Turbo-OVAPI/wiki
Transport for Toronto, Canada,https://myttc.ca/developers
Transport for United States,NextBus API,http://www.nextbus.com/xmlFeedDocs/NextBusXMLFeed.pdf
Universities List,University names  countries and domains,https://github.com/Hipo/university-domains-list
Brazilian Vehicles and Prices,Vehicles information from Fundação Instituto de Pesquisas Econômicas - Fipe,https://deividfortuna.github.io/fipe/
NHTSA,NHTSA Product Information Catalog and Vehicle Listing,https://vpic.nhtsa.dot.gov/api/
An API of Ice And Fire,Game Of Thrones API,https://anapioficeandfire.com/
Czech Television,TV programme of Czech TV,http://www.ceskatelevize.cz/xml/tv-program/
Netflix Roulette,Netflix database,https://netflixroulette.net/api/
Ron Swanson Quotes,Television,https://github.com/jamesseanwright/ron-swanson-quotes#ron-swanson-quotes-api
SWAPI,Star Wars Information,https://swapi.co
TVMaze,TV Show Data,http://www.tvmaze.com/api
MetaWeather,Weather,https://www.metaweather.com/api/
ODWeather,Weather and weather webcams,http://api.oceandrivers.com/static/docs.html
Yahoo! Weather,Weather,https://developer.yahoo.com/weather/)# Public APIs [![Build Status](https://api.travis-ci.org/toddmotto/public-apis.svg)](https://travis-ci.org/toddmotto/public-apis
